"country_name","genres","n"
"Latvia","Crime",130
"Latvia","Documentary",30
"Latvia","Drama",292
"Latvia","Family",17
"Latvia","Fantasy",25
"Latvia","Game-Show",12
"Latvia","History",3
"Latvia","Horror",29
"Latvia","Music",2
"Latvia","Musical",1
"Latvia","Mystery",59
"Latvia","Reality-TV",15
"Latvia","Romance",84
"Latvia","Sci-Fi",57
"Latvia","Short",8
"Latvia","Sport",10
"Latvia","Thriller",46
"Latvia","War",2
"Latvia","Western",5
"Lebanon","Action",205
"Lebanon","Adult",1
"Lebanon","Adventure",106
"Lebanon","Animation",30
"Lebanon","Biography",11
"Lebanon","Comedy",193
"Lebanon","Crime",138
"Lebanon","Documentary",26
"Lebanon","Drama",386
"Lebanon","Family",21
"Lebanon","Fantasy",46
"Lebanon","Game-Show",8
"Lebanon","History",4
"Lebanon","Horror",22
"Lebanon","Music",2
"Lebanon","Musical",3
"Lebanon","Mystery",35
"Lebanon","Reality-TV",10
"Lebanon","Romance",110
"Lebanon","Sci-Fi",25
"Lebanon","Short",9
"Lebanon","Sport",7
"Lebanon","Thriller",65
"Lebanon","War",5
"Lebanon","Western",9
"Lithuania","Action",150
"Lithuania","Adventure",98
"Lithuania","Animation",57
"Lithuania","Biography",9
"Lithuania","Comedy",209
"Lithuania","Crime",135
"Lithuania","Documentary",35
"Lithuania","Drama",289
"Lithuania","Family",17
"Lithuania","Fantasy",27
"Lithuania","Game-Show",12
"Lithuania","History",3
"Lithuania","Horror",32
"Lithuania","Music",3
"Lithuania","Musical",1
"Lithuania","Mystery",46
"Lithuania","Reality-TV",13
"Lithuania","Romance",89
"Lithuania","Sci-Fi",39
"Lithuania","Short",12
"Lithuania","Sport",11
"Lithuania","Thriller",51
"Lithuania","War",3
"Lithuania","Western",6
"Luxembourg","Action",178
"Luxembourg","Adult",1
"Luxembourg","Adventure",126
"Luxembourg","Animation",48
"Luxembourg","Biography",7
"Luxembourg","Comedy",179
"Luxembourg","Crime",146
"Luxembourg","Documentary",32
"Luxembourg","Drama",356
